<<<<<<< HEAD
,Building,StreamID,Filename,strBrickLabel
0,A,9ba955fa_5960_4c9b_b73a_10156da7d083,trainAll_0.pkl,Operating_Mode_Status
1,A,7a027f80_7d78_4a88_a1c1_20aaed374d97,FILE NOT SAVED: y is Point.,Point
2,A,8fd6e75b_88bc_4992_b420_77389969b3c4,trainAll_1.pkl,Mode_Command
3,A,8db6eaa9_bd6c_4f7e_aed0_a47e4e192a6c,trainAll_2.pkl,Active_Power_Sensor
4,A,b2338dec_110a_45cc_8358_1171aaef2c45,trainAll_3.pkl,System_Status
5,A,ec5ff874_0af2_49d8_a6a0_21ea3d077dc8,trainAll_4.pkl,Maintenance_Mode_Command
6,A,dcc8f9c9_76ff_4556_9d8e_4d2813e8aacd,trainAll_5.pkl,Unit_Failure_Alarm
7,A,672f72c5_39a4_4aec_be81_e498ac2070c9,trainAll_6.pkl,Air_Flow_Sensor
8,A,13a08971_b253_42c9_8f8e_7676c3663061,trainAll_7.pkl,Frequency_Sensor
9,A,fc826759_3b7f_4de3_845c_4c51f652fff4,trainAll_8.pkl,Voltage_Sensor
10,A,09222e37_8467_447e_af0a_1ed88da4bc6f,trainAll_9.pkl,Electrical_Power_Sensor
11,A,4c7f5f97_30d2_40e8_baf9_cba39f01b504,trainAll_10.pkl,Alarm
12,A,5be38cad_0ca2_44c4_bb06_82f2b5238180,trainAll_11.pkl,Duration_Sensor
13,A,ae9cb2f0_c953_40bf_a947_ae97a8d621cc,trainAll_12.pkl,System_Shutdown_Status
14,A,d5236116_4e67_4cbc_bae2_698ff7d398d8,trainAll_13.pkl,System_Status
15,A,984e5334_35d2_4fa0_9b9c_8361bd2b86c7,trainAll_14.pkl,Damper_Position_Sensor
16,A,5100b7f0_ef91_4fd8_a357_2c5ac7a49bfb,trainAll_15.pkl,Enable_Status
17,A,4bdb5ef5_4477_48ba_a093_62226e15ebe2,trainAll_16.pkl,Alarm
18,A,382c4719_6edc_4951_981e_e661c5767f62,trainAll_17.pkl,Damper_Position_Setpoint
19,A,128fa16d_c1a7_442e_bb90_5396100c4314,trainAll_18.pkl,Speed_Setpoint
20,A,a01a2bc1_168e_41c7_8992_8cac3d287b5b,trainAll_19.pkl,Humidity_Setpoint
21,A,92d3cf94_a266_41e3_9c51_1b3cd1bfd03a,trainAll_20.pkl,Peak_Power_Demand_Sensor
22,A,ee8d3621_3e56_426d_aaa8_9a53210f1561,trainAll_21.pkl,Fault_Status
23,A,da51e1cf_a8cf_4bd7_a785_9ff61835e87e,trainAll_22.pkl,Operating_Mode_Status
24,A,334ed30e_ee15_4330_b808_4ed0a5bf7f62,trainAll_23.pkl,Mode_Status
25,A,c4f28b6e_dd29_4d04_99dc_77e4a68f65b1,trainAll_24.pkl,Electrical_Power_Sensor
26,A,d3883bb1_6885_40a8_a173_11c1d53fd452,trainAll_25.pkl,Maintenance_Mode_Command
27,A,93e25be4_3aa6_4b56_a01a_205a4e0abc37,trainAll_26.pkl,Speed_Setpoint
28,A,69a925b4_7d86_4402_9313_02a4c60a281d,trainAll_27.pkl,Room_Air_Temperature_Setpoint
29,A,7b3edb8b_99d5_42d6_88ac_61671caa9bf2,trainAll_28.pkl,Damper_Position_Setpoint
30,A,501bd3c0_b9a3_446b_9051_db26984788dd,trainAll_29.pkl,Speed_Setpoint
