ID,StreamID,Type,Category,Unit,NestedRelations,RelationType.1,Entity.EntityID.1,Entity.EntityType.1,Entity.Category.1,Entity.Depth.1,RelationType.2,Entity.EntityID.2,Entity.EntityType.2,Entity.Category.2,Entity.Depth.2,RelationType.3,Entity.EntityID.3,Entity.EntityType.3,Entity.Category.3,Entity.Depth.3,RelationType.4,Entity.EntityID.4,Entity.EntityType.4,Entity.Category.4,Entity.Depth.4,RelationType.5,Entity.EntityID.5,Entity.EntityType.5,Entity.Category.5,Entity.Depth.5,hasStream,
08684dc4_48b2_49da_b3cd_9b061c76c4f4,f3628673_839d_4681_9a34_b6374951908f,Current_Sensor,Sensor,A,"{'RelatedEntities': [{'RelationType': 'isPointOf', 'Entity': {'EntityID': 'b99ce6df_b057_4d80_81ba_ad76462968c1', 'EntityType': 'Electrical_Generation_Meter', 'Category': 'Equipment', 'Depth': 2, 'RelatedEntities': []}}]}",isPointOf,b99ce6df_b057_4d80_81ba_ad76462968c1,Electrical_Generation_Meter,Equipment,2,,,,,,,,,,,,,,,,,,,,,TRUE,f3628673_839d_4681_9a34_b6374951908f
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.080e0472_a061_4e7b_b5cd_e176a51e482d,7274bab7_ada3_4c00_8d20_e84a8d33f995,Mode_Status,Point,,{'RelatedEntities': []},,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.1316fd60_be4e_436d_ad12_45e17d3f7254,6c61a963_a4cf_485d_a15f_13154222a1ae,Heating_Command,Point,,{'RelatedEntities': []},,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.16fbd00a_c0dc_4a90_943d_1eab1b80190f,e022d248_71dc_4142_a4af_01f2eff3360b,Water_Temperature_Sensor,Sensor,,{'RelatedEntities': []},,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.18999260_6d8c_4cd3_91fd_c52f89e25b4b,0c6cb0a3_7b9c_43af_baf5_dcb4ccd6914a,Heating_Command,Point,,"{'RelatedEntities': [{'RelationType': 'isPointOf', 'Entity': {'EntityID': 'c10f79c9_744d_40a5_a272_7cde7ca1f5a6', 'EntityType': 'Air_Handler_Unit', 'Category': 'Equipment', 'Depth': 2, 'RelatedEntities': [{'RelationType': 'hasLocation', 'Entity': {'EntityID': '13211186_beb4_4227_bd2d_0644e860886e', 'EntityType': 'Building', 'Category': 'Location', 'Depth': 3, 'RelatedEntities': []}}]}}]}",isPointOf,c10f79c9_744d_40a5_a272_7cde7ca1f5a6,Air_Handler_Unit,Equipment,2,hasLocation,13211186_beb4_4227_bd2d_0644e860886e,Building,Location,3,,,,,,,,,,,,,,,,TRUE,
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.214c8636_0f46_4295_82ab_8aa2602ee776,3058787c_07ef_4d8c_8214_872064f85f95,Heating_Demand_Sensor,Sensor,,{'RelatedEntities': []},,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.2db1336a_027e_49a3_be92_d6fafdf09906,2bfea9cf_141f_4a2e_8dd0_50eb3c5219e4,Heating_Demand_Setpoint,Point,,{'RelatedEntities': []},,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.35b58a5c_c7a0_474e_9bb7_945567112b3f,4d8495e0_c9be_43a1_8b87_9e53eedc4495,Return_Water_Temperature_Sensor,Sensor,,{'RelatedEntities': []},,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.3cbb4762_6e59_4f46_b688_c11f433b1cfa,ccb76429_d16b_42df_9b76_4492b28d6d81,Heating_Command,Point,,{'RelatedEntities': []},,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
08ff7ae0_acef_4f4d_8328_2de484a6d5e1.4b9cb49f_ccb6_4c07_9d2c_f8221f0a2e22,5344c826_a528_465b_b962_a22c2c662cb3,Outside_Air_Temperature_Setpoint,Point,,{'RelatedEntities': []},,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
